round,aucpr_mean,aucpr_std,num_clients_evaluated
1,0.6023479824136406,0.0,1
2,0.7627125054288032,0.0,1
3,0.7502008249563001,0.0,1
4,0.7004191309223168,0.0,1
5,0.7846787355374863,0.0,1
6,0.5936228408713108,0.0,1
7,0.5673105368712,0.0,1
8,0.730298698791678,0.0,1
9,0.8194673153829939,0.0,1
10,0.616645751231525,0.0,1
11,0.7616266846817794,0.0,1
12,0.7042302870577997,0.0,1
13,0.7660756258689857,0.0,1
14,0.818894994049501,0.0,1
15,0.6798352450505195,0.0,1
16,0.6912085577082526,0.0,1
17,0.6349486812880306,0.0,1
18,0.6741040226444884,0.0,1
19,0.63285145649928,0.0,1
20,0.7823861243889765,0.0,1
21,0.8061580130777983,0.0,1
22,0.5592367712150046,0.0,1
23,0.5456741446425486,0.0,1
24,0.7791060422418217,0.0,1
25,0.7957199869326772,0.0,1
26,0.44399824991961734,0.0,1
27,0.8544544667090425,0.0,1
28,0.6328645886780812,0.0,1
29,0.5233239249354291,0.0,1
30,0.5774161531955214,0.0,1
31,0.8086549931746513,0.0,1
32,0.6432065478291366,0.0,1
33,0.707368364605173,0.0,1
34,0.5779559339667275,0.0,1
35,0.8025454790744169,0.0,1
36,0.8019865404836768,0.0,1
37,0.5798829448746821,0.0,1
38,0.8028676895996316,0.0,1
39,0.7115322786981616,0.0,1
40,0.6298855990165451,0.0,1
41,0.6748285911275567,0.0,1
42,0.5888135656839434,0.0,1
43,0.5770614118020929,0.0,1
44,0.7658145676833101,0.0,1
