Location,n_samples,p_No,p_Yes,jsd,kl_p_global,hellinger,entropy
Adelaide,2740,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Albury,2440,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
AliceSprings,2744,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
BadgerysCreek,2334,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Ballarat,2854,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Bendigo,2713,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Brisbane,3020,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Cairns,2899,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Canberra,2725,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Cobar,2804,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
CoffsHarbour,2529,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Dartmoor,2294,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Darwin,3117,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
GoldCoast,2821,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Hobart,3089,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Katherine,670,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Launceston,1538,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Melbourne,2233,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
MelbourneAirport,2934,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Mildura,2897,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Moree,2629,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
MountGambier,2886,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Nhil,1518,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
NorahHead,2785,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
NorfolkIsland,2864,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Nuriootpa,2790,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
PearceRAAF,2458,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Perth,3037,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
PerthAirport,2923,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Portland,2820,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Richmond,2048,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Sale,2735,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Sydney,2259,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
SydneyAirport,2929,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Townsville,2884,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Tuggeranong,2316,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Uluru,1446,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
WaggaWagga,2800,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Walpole,2502,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Watsonia,2735,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Williamtown,2195,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Witchcliffe,2318,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Wollongong,2767,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
Woomera,2886,0.5,0.5,0.0,0.0,0.0,0.6931471805599453
