feature,mean_abs_weight_0,mean_abs_weight_1,diff_0_1
Humidity3pm,0.2103455174321944,0.2216680560969905,-0.0113225386647961
Humidity9am,0.0073125177247568,0.0079031379697258,-0.0005906202449690008
MaxTemp,0.0052685373373046,0.005279909391374,-1.1372054069399944e-05
MinTemp,0.0120337224110123,0.0122105601408384,-0.00017683772982609973
Pressure3pm,0.0590146674163829,0.0606456226889277,-0.0016309552725448026
Pressure9am,0.0195514138736716,0.0203413559118524,-0.0007899420381808006
RainToday,0.0052778349924339,0.0054380069308944,-0.00016017193846050003
Rainfall,0.0253130819322362,0.0255255779080272,-0.00021249597579100013
Temp3pm,0.0197911840902758,0.0215028046208894,-0.0017116205306135987
Temp9am,0.0052525798173574,0.0054481806863751,-0.00019560086901770045
WindDir3pm_cos,0.0207821906580765,0.0210637461453741,-0.0002815554872976009
WindDir3pm_sin,0.0052800786877287,0.0053068937288381,-2.6815041109400084e-05
WindDir9am_cos,0.0051924886895306,0.0056099319401887,-0.00041744325065810016
WindDir9am_sin,0.0055253916139051,0.0056971731073344,-0.00017178149342930021
WindGustDir_cos,0.0058351968126813,0.005991944054955,-0.00015674724227369985
WindGustDir_sin,0.0052439656113923,0.0056147572694311,-0.0003707916580388002
WindGustSpeed,0.0513937189289601,0.0531206627265522,-0.0017269437975920982
WindSpeed3pm,0.0057544142198839,0.0058511484339994,-9.673421411549987e-05
WindSpeed9am,0.0055240855544832,0.0058388628387547,-0.00031477728427149916
