Feature,Mean_Abs_SHAP
Pressure3pm,1.507944501813002
Humidity3pm,1.3210643712626016
Pressure9am,1.1208699370840962
WindGustSpeed,0.6469172020572125
MaxTemp,0.39863348338715904
Temp3pm,0.3255056044103628
Temp9am,0.2974546614729122
MinTemp,0.23770983103163099
WindDir9am_cos,0.20609906343964315
WindDir3pm_sin,0.20002756592454998
Humidity9am,0.19610259540575753
WindGustDir_sin,0.19281261757957036
WindDir3pm_cos,0.18901096475731985
WindSpeed3pm,0.17845526812244228
WindGustDir_cos,0.17503747284569746
WindDir9am_sin,0.16942568353455761
WindSpeed9am,0.13647415632076793
RainToday,0.13625693055097404
Rainfall,0.08977573343053605
